,LSOA.Code,count
0,E01000001,2112
1,E01000002,2913
2,E01000003,156
3,E01000005,1614
4,E01000006,102
5,E01000007,463
6,E01000008,277
7,E01000009,312
8,E01000010,440
9,E01000011,109
10,E01000012,134
11,E01000013,124
12,E01000014,81
13,E01000015,88
14,E01000016,111
15,E01000017,60
16,E01000018,84
17,E01000019,70
18,E01000020,72
19,E01000021,100
20,E01000022,48
21,E01000023,245
22,E01000024,68
23,E01000025,76
24,E01000027,84
25,E01000028,65
26,E01000029,72
27,E01000030,102
28,E01000031,81
29,E01000032,121
30,E01000033,60
31,E01000034,42
32,E01000035,287
33,E01000036,78
34,E01000037,49
35,E01000038,42
36,E01000039,67
37,E01000040,94
38,E01000041,92
39,E01000042,59
40,E01000043,112
41,E01000044,109
42,E01000045,75
43,E01000046,86
44,E01000048,37
45,E01000049,98
46,E01000050,161
47,E01000051,32
48,E01000052,123
49,E01000053,79
50,E01000054,84
51,E01000055,80
52,E01000056,70
53,E01000057,82
54,E01000058,96
55,E01000059,66
56,E01000060,100
57,E01000061,54
58,E01000062,94
59,E01000063,63
60,E01000064,100
61,E01000065,109
62,E01000066,97
63,E01000067,53
64,E01000068,99
65,E01000069,83
66,E01000070,104
67,E01000071,124
68,E01000072,94
69,E01000073,68
70,E01000074,62
71,E01000075,110
72,E01000076,76
73,E01000077,68
74,E01000078,116
75,E01000079,67
76,E01000080,82
77,E01000081,76
78,E01000082,78
79,E01000083,70
80,E01000084,62
81,E01000085,74
82,E01000086,54
83,E01000087,69
84,E01000088,109
85,E01000089,88
86,E01000090,98
87,E01000091,120
88,E01000092,791
89,E01000093,98
90,E01000094,146
91,E01000095,170
92,E01000096,125
93,E01000097,80
94,E01000098,117
95,E01000099,204
96,E01000100,68
97,E01000101,84
98,E01000102,83
99,E01000103,80
100,E01000104,87
101,E01000105,110
102,E01000106,148
103,E01000107,81
104,E01000108,90
105,E01000109,151
106,E01000110,186
107,E01000111,128
108,E01000112,212
109,E01000113,116
110,E01000114,107
111,E01000115,66
112,E01000116,183
113,E01000117,97
114,E01000118,85
115,E01000119,128
116,E01000120,85
117,E01000121,43
118,E01000122,70
119,E01000123,679
120,E01000124,108
121,E01000125,105
122,E01000126,88
123,E01000127,51
124,E01000128,87
125,E01000129,248
126,E01000130,73
127,E01000131,96
128,E01000132,44
129,E01000133,45
130,E01000134,69
131,E01000135,828
132,E01000136,129
133,E01000137,114
134,E01000138,152
135,E01000139,101
136,E01000140,203
137,E01000141,160
138,E01000142,450
139,E01000143,56
140,E01000144,1576
141,E01000145,85
142,E01000146,537
143,E01000147,125
144,E01000148,933
145,E01000150,285
146,E01000151,45
147,E01000152,84
148,E01000153,73
149,E01000154,67
150,E01000155,448
151,E01000156,182
152,E01000157,79
153,E01000158,140
154,E01000159,117
155,E01000160,119
156,E01000161,116
157,E01000162,122
158,E01000163,72
159,E01000164,77
160,E01000165,664
161,E01000166,428
162,E01000167,51
163,E01000168,193
164,E01000169,74
165,E01000170,330
166,E01000171,523
167,E01000172,72
168,E01000173,72
169,E01000174,113
170,E01000175,61
171,E01000176,77
172,E01000177,927
173,E01000178,141
174,E01000179,89
175,E01000180,77
176,E01000181,499
177,E01000182,185
178,E01000183,77
179,E01000184,69
180,E01000185,44
181,E01000186,217
182,E01000187,220
183,E01000188,155
184,E01000189,115
185,E01000190,153
186,E01000191,259
187,E01000192,488
188,E01000193,553
189,E01000194,1098
190,E01000195,81
191,E01000196,5100
192,E01000197,113
193,E01000198,142
194,E01000199,105
195,E01000200,121
196,E01000201,126
197,E01000202,865
198,E01000203,127
199,E01000204,217
200,E01000205,78
201,E01000206,99
202,E01000207,183
203,E01000208,92
204,E01000209,86
205,E01000210,90
206,E01000211,1587
207,E01000212,93
208,E01000213,96
209,E01000214,514
210,E01000215,178
211,E01000216,179
212,E01000217,953
213,E01000218,220
214,E01000219,132
215,E01000220,135
216,E01000221,85
217,E01000222,124
218,E01000223,63
219,E01000224,584
220,E01000225,319
221,E01000226,80
222,E01000227,153
223,E01000228,88
224,E01000229,46
225,E01000230,231
226,E01000231,187
227,E01000232,88
228,E01000233,114
229,E01000234,2449
230,E01000235,1213
231,E01000236,92
232,E01000237,810
233,E01000238,132
234,E01000239,153
235,E01000240,97
236,E01000241,306
237,E01000242,93
238,E01000243,562
239,E01000244,103
240,E01000245,661
241,E01000246,110
242,E01000247,81
243,E01000248,148
244,E01000249,112
245,E01000250,2166
246,E01000251,1370
247,E01000252,87
248,E01000253,187
249,E01000254,129
250,E01000255,65
251,E01000256,117
252,E01000257,96
253,E01000258,223
254,E01000259,270
255,E01000260,117
256,E01000261,94
257,E01000262,198
258,E01000263,175
259,E01000264,351
260,E01000265,99
261,E01000266,102
262,E01000267,114
263,E01000268,264
264,E01000269,536
265,E01000270,78
266,E01000271,93
267,E01000272,120
268,E01000273,408
269,E01000274,124
270,E01000275,143
271,E01000276,77
272,E01000277,145
273,E01000278,71
274,E01000279,88
275,E01000280,100
276,E01000281,1588
277,E01000282,139
278,E01000283,345
279,E01000284,89
280,E01000285,69
281,E01000286,60
282,E01000287,63
283,E01000288,45
284,E01000289,56
285,E01000290,96
286,E01000291,64
287,E01000292,478
288,E01000293,511
289,E01000294,75
290,E01000295,149
291,E01000296,3573
292,E01000297,77
293,E01000298,530
294,E01000299,6080
295,E01000300,118
296,E01000301,105
297,E01000302,1173
298,E01000303,129
299,E01000304,104
300,E01000305,580
301,E01000306,87
302,E01000307,73
303,E01000308,73
304,E01000309,401
305,E01000310,547
306,E01000311,171
307,E01000312,67
308,E01000313,260
309,E01000314,329
310,E01000315,55
311,E01000316,413
312,E01000317,286
